"Code","Location_ID","Panel","Date_Established","Contact_ID","xCoordinate","yCoordinate","Latitude","Longitude","UTM_Zone","Description","FWS_Class_Code","HGM_Class","HGM_Sub_Class","AA_Layout","AA_Area","Directions","Location_Comments","Access_Comments","Notes_AA2","Access_Difficulty","Access_Requirement","Saturated_Soils","Standing_Water","Shallow_Roots","Water_Marks","Water_Carried_Debris","Bare_Areas","Floating_Mat","Buttressed_Trunks","Water_Stained_Leaves","Oxidized_Rhizospheres","Other","Wetland_Hydro_Comments"
"GRME01",218,NA,"2015-07-16",NA,563119,4912595,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont Spring parking area. Walk to point from here. Walk out on Jesup Path. Once the boardwalk starts - turn right and into Meadow. No stream crossing by going this way.",NA,"Deep stream crossing unless you head down Jesup Path first. Permits required by NPS.",NA,"Deep Water","Special Permits","YES","YES",NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,NA,"2015-07-22",NA,563071,4913162,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at intersection of Loop Road and Ledgelawn. Hike on Road to NW across culvert and then bushwack in woods as long as possible heading towards plot location.",NA,"Need permit from ANP",NA,"Dense vegetation","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,NA,"2015-07-28",NA,562824,4912845,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jessup Path & head off boardwalk when closest to point.",NA,"Easy open site; Park permits required",NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,"YES","YES",NA,NA,NA
"GRME04",222,NA,"2015-07-30",NA,562910,4912898,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Take Kebo Path out to Point. Point is just to East of boardwalk.","Mored point to area more screened from trail","Visible from Kebo path; Need permit from ANP",NA,"Other","Special Permits",NA,NA,NA,NA,NA,"YES",NA,NA,"YES",NA,NA,NA
"GRME05",219,NA,"2015-08-10",NA,563200,4912819,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park in gravel pull off area approximately 563436, 4912909. First goal is to get to the very large willow approximately 563318, 4912806. Once under the large willow tree on edge of wetland, generally follow a straight line to plot 5, although you may need to job slightly north once or twice to skirt a deeper pool'",NA,"Deep water in August",NA,"Dense vegetation","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,NA,"2015-08-10",NA,563011,4912923,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Hike down Jesup path & head off of boardwalk when nearest to point 4. Hike past point 4 & head directly to point 6.",NA,"Stomp ... for Buckthorn",NA,"Other","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME07",217,NA,"2015-08-14",NA,563061,4912558,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens. Walk out Jesup path. Once the boardwalk starts, proceed past the first deep channel, and then turn right and into the meadow following the directions most of the way to plot 1. Once you get clode to Plot 1, head straight to the Plot 7 coordinates.",NA,NA,NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME08",214,NA,"2015-08-14",NA,563371,4912986,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park in the gravell pull off area approximately 563436, 4912909. Hike into the woods until the coordinates for plot 8 arc directly west of you, then hike out into the wetland to the plot coordinates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME09",216,NA,"2015-08-14",NA,562963,4912763,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Hike out the Jesup Path & head off of the boardwalk when nearest to the point",NA,NA,NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,NA,"2015-08-14",NA,563256,4912949,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,"Stay to south to cross ditch",NA,"Deep Water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,"2020-08-14",NA,563119,4912595,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Siur de Monts Springs parking area. Walk to point from here. Once the boardwalk starts - turn right and into meadow. No stream crossings by going this way.",NA,"Deep stream crossings unless you head down Jesup path first. Permit required by NPS.",NA,"Deep Water","Special Permits",NA,"YES",NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,NA,"2020-08-12",NA,563070,4913161,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at intersection of Loop Road and Great Meadow. Hike on road to NW across culvert and then bushwack in woods as long as possible heading towards plot location",NA,"Need permit from ANP",NA,"Dense vegetation","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,NA,"2020-08-14",NA,562813,4912849,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jessup Path and head off boardwalk when near point.",NA,"Easy, open site. Permit needed from ANP.",NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,"YES","YES",NA,NA,NA
"GRME04",222,NA,"2020-08-14",NA,562907,4912908,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park Kebo Path out to point. Point is just to the East of boardwalk",NA,"Need permit from ANP",NA,NA,"Special Permits",NA,NA,NA,NA,NA,"YES",NA,NA,"YES",NA,NA,NA
"GRME05",219,NA,"2020-08-12",NA,563200,4912819,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park in pull off area (563436, 4912909). First go to the very large willow tree at 563318, 4912906, then head in a straight line to plot 5",NA,"Ankle deep water",NA,"Dense vegetation","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,NA,"2020-08-14",NA,563006,4912922,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Hike down Jesup Path & head off of boardwalk when near point 4. Walk past point 4 & head directly to point 6",NA,"Permit required from ANP",NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME07",217,NA,"2020-08-14",NA,563061,4912553,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens. Walk out the Jesup Path. Once the boardwalk starts, proceed past the first deep channel, and then turn",NA,"Permit required from ANP",NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME08",214,NA,"2020-08-12",NA,563371,4912986,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",NA,"Park in the gravel pull off area of approximately 563436, 4912909. Hike in the woods until the coordinates for Plot 8 are directly west of you, then hike out into the wetland to the plot coordinates",NA,"Special permit from ANP required; unable to locate point marker, used coordinates for center point of AA. Return with metal detector.",NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME09",216,NA,"2020-08-14",NA,562971,4912763,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when nearest to the point",NA,NA,NA,NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,NA,"2020-08-12",NA,563256,4912949,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,"ANP Research Permit required. Unable to locate point marker. Use coordinates as center of AA. Return with metal detector. Stay south to cross ditch",NA,"Deep Water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME01",218,NA,"2023-07-27",NA,563119,4912595,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sier de Monts parking area. Walk out Jesup Path. Once the boardwalk starts, proceed past the first deep channel and then turn right and into the meadow, making an arching sweep towards the plot. No major stream crossings by going this way",NA,"Deep stream crossings unless you head down Jesup path first. Permit required by NPS.","AA is 80 meters diameter","Deep Water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,NA,"2023-07-25",NA,563070,4913161,NA,NA,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at intersection of Park Loop Road and Ledgelawn. Hike on road to NW past the culvert and then bushwack in woods towards point. You can take a fairly direct shot towards point once you are out in the meadow",NA,"Permit required from ANP","AA is 80 meters diameter","Dense vegetation, Deep water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,NA,"2023-07-27",NA,562813,4912849,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when nearest to the point. Access is simple for this area.",NA,"Permit required from ANP","AA is 80 meters diameter",NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME04",222,NA,"2023-07-27",NA,562907,4912908,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Take Kebo Path out to Point. Point is just to East of boardwalk.",NA,"Permit required from ANP","AA is 80 meters diameter",NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME05",219,NA,"2023-07-25",NA,563200,4912819,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park in gravel pull off area approximately 563436, 4912909. First goal is to get to the very large willow approximately 563318, 4912806. Once under the large willow tree on edge of wetland, generally follow a straight line to plot 5, although you may need to job slightly north once or twice to skirt a deeper pool'",NA,"Permit required from ANP","AA is 80 meters diameter","Dense vegetation, Deep water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,NA,"2023-07-27",NA,563006,4912922,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jesup Path & head off of boardwalk when near point 4. Walk past point 4 & head directly to point 6",NA,"Permit required from ANP","AA is 80 meters diameter",NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME07",217,NA,"2023-07-27",NA,563061,4912553,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Walk out Jesup Path. Once the boardwalk starts proceed past the first deep channel, and then turn right and into the meadow, following the directions most of the way to Plot 1. Once you get close to Plot 1, head straight to Plot 7 coordinates",NA,"Permit required from ANP","AA is 80 meters diameter","Dense vegetation, Deep water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME08",214,NA,"2023-07-25",NA,563371,4912986,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park in gravel pull off area approximately 563436, 4912909. Hike in the woods until the coordinates for Point 8 are directly west of you, then hike out into the wetland to the point coordinates",NA,"Permit required from ANP","AA is 80 meters diameter","Dense vegetation, Deep water","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME09",216,NA,"2023-07-27",NA,562971,4912763,NA,NA,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Wild Gardens parking area. Head down Jesup Path and Head off of boardwalk when nearest to the point",NA,"Permit required from ANP","AA is 80 meters diameter",NA,"Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,NA,"2023-07-25",NA,563256,4912949,NA,NA,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Follow directions for accessing large willow tree for getting to Plot 5. From that willow tree, head to the eastern side of plot 10, altering course to the center once it is near. Lots of deep channels to avoid.",NA,"Permit required from ANP; Don't access from Plot 8 as channels are too deep!","AA is 80 meters diameter","Dense vegetation, Deep water, Other","Special Permits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIME03",224,-1,"2024-08-12",9,558085,4912280,44.3614687783234,-68.2710747204677,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIME07",225,-1,"2024-08-12",9,558056,4912311,44.3617501685242,-68.2714351618667,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,NA,"GPS Coords correct, Site ID should be GIME07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME01",218,-1,"2024-07-22",9,563119,4912595,44.363883845008,-68.2078691636101,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont",NA,"Bring chest or hip waders (in drier years) to cross the stream channel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME02",223,-1,"2024-07-30",9,563119,4912595,44.363883845008,-68.2078691636101,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at end of Great Meadow Drive, access from upland N of site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME03",215,-1,"2024-07-16",9,562824,4912845,44.3661599775609,-68.211540817212,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont, access from boardwalk or hemlock trail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME04",222,-1,"2024-07-24",9,562910,4912898,44.3666296324395,-68.2104551852359,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Just off boardwalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME05",219,-1,"2024-07-23",9,563200,4912819,44.3658932545905,-68.2068255161496,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME06",221,-1,"2024-07-24",9,563011,4912923,44.3668459157113,-68.2091846880126,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Up boardwalk until plot is due east, bushwhack from there ","white-faced hornet nest ~3m N/NE of well cap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME07",217,-1,"2024-07-22",9,563061,4912558,44.3635558135196,-68.2086014674007,"19N","Palustrine Scrub/Shrub","PSS","Depression","OPEN","STANDARD_CIRCULAR",0.5,"Park at Sieur de Mont, go up trail until stream channel is crossed, then enter wetland. Orange fiberglass marker pole missing. Used GPS & aerial maps of the sample sites to find plot center.",NA,NA,"Subclass = 10 (would not respond to selection)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME08",214,-1,"2024-07-15",9,563371,4912896,44.3665714914146,-68.2046702526296,"19N","Palustrine Scrub/Shrub","PSS","Depression","Open Beaver Impounded","STANDARD_CIRCULAR",0.5,"Park on Park Loop Road",NA,NA,"Mix of PSS and PEM and PFO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME09",216,-1,"2024-07-16",9,562963,4912763,44.3654097530641,-68.2098064161728,"19N","Palustrine Forested","PFO","Depression","OPEN","STANDARD_CIRCULAR",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRME10",220,-1,"2024-07-23",9,563256,4912949,44.3670586406657,-68.2061069633001,"19N","Palustrine Emergent","PEM","Depression","OPEN","STANDARD_CIRCULAR",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
