"Code","Location_ID","Visit_ID","Panel","Date","Year","Visit_Type","limited_RAM","Strata_ID","Vert_Complexity_ID","Cover_Class","Strata"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,5,4,"26-50%","Short Woody Plants (shrubs and trees <5m)"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GIME03",224,291,-1,2024-08-12,2024,"VS",1,6,6,"0%","Vines (any present)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,7,6,"0%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GIME07",225,292,-1,2024-08-12,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,1,1,"<10%","Submerged Plants (any depth)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,2,1,"<10%","Floating or Floating-leaved Plants"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME01",218,284,-1,2024-07-22,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,2,1,"<10%","Floating or Floating-leaved Plants"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,5,4,"26-50%","Short Woody Plants (shrubs and trees <5m)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME02",223,289,-1,2024-07-30,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,5,1,"<10%","Short Woody Plants (shrubs and trees <5m)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,7,5,">50%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME03",215,281,-1,2024-07-19,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,3,2,"10-15%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,5,1,"<10%","Short Woody Plants (shrubs and trees <5m)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,7,4,"26-50%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME04",222,288,-1,2024-07-24,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,1,1,"<10%","Submerged Plants (any depth)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,2,2,"10-15%","Floating or Floating-leaved Plants"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,5,1,"<10%","Short Woody Plants (shrubs and trees <5m)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,7,6,"0%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME05",219,293,-1,2024-08-20,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,3,4,"26-50%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,5,3,"16-25%","Short Woody Plants (shrubs and trees <5m)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,7,3,"16-25%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME06",221,287,-1,2024-07-24,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,2,1,"<10%","Floating or Floating-leaved Plants"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME07",217,283,-1,2024-07-22,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,1,1,"<10%","Submerged Plants (any depth)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,5,5,">50%","Short Woody Plants (shrubs and trees <5m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,7,1,"<10%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME08",214,280,-1,2024-07-15,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,3,1,"<10%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,4,4,"26-50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,5,4,"26-50%","Short Woody Plants (shrubs and trees <5m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,7,4,"26-50%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME09",216,282,-1,2024-07-16,2024,"VS",1,6,6,"0%","Vines (any present)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,1,6,"0%","Submerged Plants (any depth)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,2,6,"0%","Floating or Floating-leaved Plants"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,3,6,"0%","Short Emergent Plants/Forbs/Graminoids (<0.5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,4,5,">50%","Tall Emergent Plants/Forbs/Graminoids (≥0.5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,5,1,"<10%","Short Woody Plants (shrubs and trees <5m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,7,6,"0%","Tall Woody Plants (shrubs and trees ≥5.0m)"
"GRME10",220,290,-1,2024-08-08,2024,"VS",1,6,6,"0%","Vines (any present)"
